0,13,5
0,34,1
0,45,1
0,82,1
0,92,1
0,93,1
0,152,5
0,169,4
0,183,5
0,193,5
0,237,4
0,288,1
0,291,5
0,303,5
0,319,5
0,461,1
0,491,5
0,493,1
0,583,5
0,622,1
0,637,1
0,683,4
0,691,3
0,707,2
0,739,3
0,751,5
0,764,5
0,774,1
0,780,1
0,785,5
0,790,5
0,884,5
0,914,1
0,951,1
0,963,5
0,978,1
1,92,5
1,126,5
1,169,5
1,254,5
1,291,5
1,307,5
1,319,5
1,382,5
1,491,5
1,503,5
1,515,5
1,606,5
1,686,4
1,691,5
1,764,4
1,774,4
1,858,5
1,884,5
1,963,5
1,995,5
2,8,2
2,11,2
2,34,4
2,85,3
2,120,4
2,126,2
2,131,3
2,152,4
2,165,3
2,167,3
2,169,4
2,192,3
2,193,4
2,204,2
2,245,3
2,291,4
2,303,4
2,319,3
2,341,3
2,389,3
2,394,3
2,404,4
2,491,4
2,506,3
2,543,4
2,562,3
2,568,3
2,583,4
2,596,4
2,645,3
2,660,3
2,665,3
2,683,4
2,751,3
2,755,3
2,785,4
2,790,2
2,794,3
2,805,3
2,811,3
2,813,4
2,857,3
2,858,4
2,884,4
2,963,3
2,968,2
2,995,2
3,95,1
3,127,1
3,341,1
3,544,3
3,635,1
3,669,1
3,815,1
3,940,1
3,978,1
3,995,1
4,39,1
4,63,4
4,70,1
4,95,5
4,187,4
4,237,2
4,382,2
4,429,1
4,459,1
4,500,1
4,526,1
4,618,1
4,666,5
4,678,1
4,736,5
4,836,2
4,840,2
4,845,1
4,928,2
4,982,2
5,55,4
5,57,3
5,61,5
5,234,3
5,242,5
5,286,5
5,319,4
5,364,5
5,565,4
5,811,1
5,888,5
5,945,4
6,0,1
6,3,1
6,6,1
6,8,1
6,18,1
6,28,1
6,45,1
6,46,1
6,53,1
6,55,1
6,61,1
6,63,1
6,64,1
6,65,1
6,66,1
6,85,4
6,86,1
6,87,1
6,91,1
6,98,1
6,107,1
6,113,1
6,115,1
6,116,1
6,117,1
6,118,1
6,120,5
6,121,1
6,123,1
6,126,1
6,130,4
6,134,1
6,141,1
6,147,1
6,152,1
6,155,1
6,162,1
6,165,1
6,168,1
6,169,3
6,173,1
6,191,1
6,193,5
6,195,1
6,200,1
6,201,1
6,215,1
6,220,1
6,234,1
6,235,1
6,251,1
6,254,1
6,260,1
6,263,1
6,269,1
6,277,1
6,284,1
6,286,1
6,287,1
6,288,1
6,291,5
6,303,4
6,304,1
6,305,4
6,309,1
6,310,1
6,311,1
6,314,1
6,319,5
6,320,1
6,332,1
6,349,1
6,351,1
6,354,1
6,360,1
6,372,1
6,378,1
6,380,1
6,387,1
6,394,4
6,399,1
6,404,1
6,420,1
6,424,1
6,426,1
6,427,1
6,432,1
6,433,1
6,448,1
6,454,1
6,455,1
6,461,4
6,462,4
6,476,1
6,477,1
6,482,1
6,491,5
6,493,1
6,497,4
6,498,1
6,499,1
6,500,1
6,515,1
6,520,1
6,521,1
6,524,1
6,536,1
6,537,1
6,538,1
6,541,1
6,546,1
6,548,1
6,551,1
6,562,1
6,563,1
6,564,1
6,571,1
6,582,1
6,585,1
6,593,1
6,598,1
6,615,1
6,621,1
6,633,1
6,635,1
6,636,1
6,639,1
6,647,1
6,648,1
6,653,1
6,667,1
6,668,1
6,672,1
6,680,1
6,681,1
6,683,1
6,686,1
6,692,1
6,693,1
6,698,1
6,701,1
6,704,1
6,707,1
6,715,1
6,718,1
6,727,1
6,728,1
6,738,1
6,739,1
6,750,1
6,755,1
6,756,1
6,759,1
6,762,1
6,763,1
6,776,1
6,780,1
6,781,1
6,783,1
6,785,5
6,792,1
6,799,1
6,800,1
6,809,1
6,811,1
6,813,1
6,816,1
6,820,1
6,822,1
6,825,1
6,836,1
6,859,1
6,864,1
6,867,1
6,870,1
6,874,1
6,883,1
6,884,5
6,889,1
6,890,1
6,892,1
6,895,1
6,899,1
6,902,1
6,905,1
6,908,1
6,916,1
6,925,1
6,946,1
6,947,1
6,951,4
6,954,1
6,963,5
6,969,1
6,972,1
6,976,1
6,988,1
6,997,1
7,1,3
7,11,3
7,22,2
7,34,2
7,51,4
7,90,2
7,104,4
7,110,2
